comment_id,task_id,remote_task_id,task_name,task_class_id,remote_task_class_id,comment_datetime,comment_text,sender_id,remote_sender_id,sender_type,receipient_id,remote_receipient_id,recipient_type,cleared_at
56910,5435,476,Social media strategy and content calendar,25,20,1/1/2021 6:02,Okay Warren. Just wondeirng what my task would be here? I sent you the new sheet.&nbsp;<br /><br /><br />What do I do now?,71,26,staff,33,11,staff,2021-01-01 19:09:06
56913,8391,1635,Coding & testing of site,1,1,1/1/2021 7:15,"Mariana, this is done. There are two checkboxes (options) to uncheck.&nbsp; So Paypal button can show on product, cart or checkout page.&nbsp; I disabled product and cart, now it's only on for checkout.",113,71,staff,97,45,staff,2021-01-06 08:42:30
56914,9506,2631,Create homepage,12,12,1/1/2021 7:36,ok t hanks for the info,84,36,staff,17,5,staff,2021-01-14 18:27:40
56915,14318,6992,OCCR print ad - new staff,6,6,1/1/2021 10:59,"Hi,&nbsp;<br />Postcard are now ready for review.&nbsp;<br />Please check the texts on the front since I don't know where to find the complete copy of this portion ""<span style=""font-weight: 400;"">Dr Stasior is Board certified &hellip; &nbsp; &nbsp; (what he does)</span>"" I used this texts instead<br /><br />Dr. Stasior was recognized as a &ldquo;Best Doctor&rdquo; by Capital Region Magazine 2018-2019 and as a &ldquo;Best Doctor in America&rdquo;, in the specialty of Ophthalmology, in Capital Region Living magazine for 2018-2019. Dr. Stasior has been awarded this honor since 1998.<br /><br />from this file&nbsp;<a href=""https://drive.google.com/file/d/1I1utIsUZ-XFo3fWAUqZTlOEFYvIeuG6A/view?usp=sharing"">https://drive.google.com/file/d/1I1utIsUZ-XFo3fWAUqZTlOEFYvIeuG6A/view?usp=sharing</a><br /><br />Thanks!",84,36,staff,33,11,staff,2021-01-02 13:01:12
56916,5435,476,Social media strategy and content calendar,25,20,1/1/2021 19:09,I guess i will forward the sheet and see what the client thinks if that is sufficient.,33,11,staff,71,26,staff,\N
56917,14159,6872,Google Ad Campaign Configuration,51,46,1/1/2021 19:18,Hmm.&nbsp;,33,11,staff,83,35,staff,2021-01-14 13:52:19
56918,11059,4066, Write and edit new content for website,12,12,1/2/2021 4:05,"Thanks Ron, I don't have access to the file in ""C21"".&nbsp;",80,33,staff,26,9,staff,2021-01-04 06:05:49
56920,12888,5848,Facebook Ad Campaign Configuration,50,45,1/2/2021 5:28,"Hi :)<br />Ok, thanks.<br /><br />Let us know when the changes will be made, we will check all the goals.",88,40,staff,65,22,staff,\N
56921,14080,6799,Testing Detail Orientation Test Mock-Up,55,50,1/2/2021 8:59,"Hi Donna, the test is done :)",72,27,staff,6,4,staff,2021-01-04 14:44:07
56922,14318,6992,OCCR print ad - new staff,6,6,1/2/2021 13:01,"<p>I like it!</p>\
<p>Thanks, will flip over to client for their final OK.</p>",33,11,staff,84,36,staff,2021-01-06 12:47:42
56923,13055,6012,Develop Expert Profile,66,61,1/2/2021 14:02,"<p>Julie, <a href=""https://docs.google.com/presentation/d/1M8_RxKZI1MP4qLT3erjqdQbiXrSw33Ah/edit#slide=id.gb30d24b8b1_0_1"" target=""_blank"" rel=""noopener"">EXPERT PROFILE</a> ready for review. I tried to get the lines straight, I'll key Carmen in to see if the creative team wants to rework the basic formatting now that we have two examples.</p>",98,46,staff,110,66,staff,2021-01-07 09:07:35
56924,14229,6936,Keyword research and page assignment,3,3,1/3/2021 1:31,"<p>I ran out of time on this task, I just need to do the rank tracker list and kw suggestion for articles- then I am done.</p>\
<p>I also have all of the keywords researched for all pages but haven't put in on the page kw assignments. If you can give me more time for that then every landing page would be complete. thanks Hannah.</p>",107,63,staff,41,14,staff,2021-01-06 13:29:09
56926,9401,2537,Google Ads A/B test,51,46,1/3/2021 13:33,"Sounds great, thanks Alexandra!",65,22,staff,88,40,staff,2021-01-10 11:33:40
56927,13976,6712,Move website from GoDaddy to Wordpress,2,2,1/3/2021 13:34,"Hi Ann, sure let's talk about this tomorrow in our meeting",65,22,staff,118,78,staff,2021-01-04 06:41:14
56928,13981,6717,Google Ads Optimization,51,46,1/3/2021 13:34,Thanks Alexandra!,65,22,staff,88,40,staff,2021-01-05 12:25:19
56929,4900,274,Write and Edit content for blog,12,12,1/3/2021 13:35,Awesome thank you Ron!,65,22,staff,26,9,staff,2021-01-04 08:21:18
56930,14371,7048,Website performance enhancements,2,2,1/3/2021 13:36,"Ah, right will do tomorrow thanks!",65,22,staff,41,14,staff,2021-01-08 19:16:24
56931,11773,4758,Analyze Lucky Orange data,24,19,1/3/2021 13:39,"Hi Taras, because the client asked about chat - we have performed CRO a long time ago, so I guess optimization is needed. Good to know thanks",65,22,staff,85,37,staff,2021-01-14 05:40:19
56964,12125,5117,LinkedIn Campaign Configuration,51,46,1/4/2021 2:10,Hey Marcela. Updating you on this task,121,81,staff,65,22,staff,2021-01-04 02:29:09
56965,14370,7045,Implement fixes recommended by CRO Team,2,2,1/4/2021 2:11,Hey Marcela. Updating you on this task,121,81,staff,65,22,staff,2021-01-04 02:30:13
56966,14284,6963,Create copy for auto-triggered emails,12,12,1/4/2021 2:12,Hey Marcela. Updating you on this task,121,81,staff,65,22,staff,2021-01-04 03:08:46
56967,12125,5117,LinkedIn Campaign Configuration,51,46,1/4/2021 2:29,"Hi Tristan, can you prepare the task description for the team? As you know, it will be a visual ad and the geo targeting is not limited to any cities. Thanks!",65,22,staff,121,81,staff,2021-01-04 04:51:50
56968,14370,7045,Implement fixes recommended by CRO Team,2,2,1/4/2021 2:30,"Ok great, I need to communicate that with the client first. Thanks!",65,22,staff,121,81,staff,2021-01-04 02:30:29
56969,12554,5545,Multi-step lead capture system - ,1,1,1/4/2021 2:36,Hi Warren<br /><br />I'll do my best to create this landing pages for the client ASAP.<br />Please upgrade my credentials to admin in MailChimp,48,17,staff,33,11,staff,2021-01-04 06:15:55
56971,13981,6717,Google Ads Optimization,51,46,1/4/2021 3:30,"Hey Alexandra, the client is asking that we add negative keywords related to healthcare; ""pinnacle""",65,22,staff,88,40,staff,2021-01-05 12:25:19
56972,14284,6963,Create copy for auto-triggered emails,12,12,1/4/2021 4:30,"<p>Hi Marcela!</p>\
<p>I've sent these to Mike for review!</p>",121,81,staff,65,22,staff,2021-01-04 15:57:08
56973,12145,5139,Coding of onpage optimizations and updates,2,2,1/4/2021 4:46,"<p>Hey Marcela!</p>\
<p>Following up on this task as it looks likes Petar has restored this weeks ago.&nbsp;</p>",121,81,staff,65,22,staff,2021-01-04 16:10:11
56974,12125,5117,LinkedIn Campaign Configuration,51,46,1/4/2021 4:51,"<p>Hey Marcela!</p>\
<p>Edited this task to reflect the new changes</p>",121,81,staff,65,22,staff,2021-01-04 08:29:44
56975,14361,7036,SEO Strategy Brief,32,27,1/4/2021 5:04,"<p>Hey Marcela</p>\
<p>Following up on this task since its been complete for 2 weeks</p>",121,81,staff,65,22,staff,2021-01-04 08:30:36
56976,11059,4066, Write and edit new content for website,12,12,1/4/2021 6:05,"Bev, you should have access now.",26,9,staff,80,33,staff,2021-01-04 08:54:57
